Timestamp,Run,ThreadType,ThreadID,Evento,Detalhes
12474.795854493,1,Main,-1,RunStart,Iniciando nova execução
12474.796172113,1,Executor,140720513602720,ReadStart,Tentando ler o preço da PETR4
12474.796206064,1,Executor,140720513602720,ReadEnd,Preço lido: 25.5000
12474.796318851,1,Executor,140720513602724,ReadStart,Tentando ler o preço da PETR4
12474.796334143,1,Executor,140720513602724,ReadEnd,Preço lido: 25.5000
12474.796560767,1,Executor,140720513602728,ReadStart,Tentando ler o preço da PETR4
12474.796577144,1,Executor,140720513602728,ReadEnd,Preço lido: 25.5000
12474.796578490,1,Executor,140720513602720,WriteStart,Preço a ser escrito: 25.5100
12474.796583112,1,Executor,140720513602720,WriteEnd,Escrita concluída
12474.796578693,1,Executor,140720513602732,ReadStart,Tentando ler o preço da PETR4
12474.796613125,1,Executor,140720513602724,WriteStart,Preço a ser escrito: 25.5100
12474.796617597,1,Executor,140720513602724,WriteEnd,Escrita concluída
12474.796621667,1,Executor,140720513602732,ReadEnd,Preço lido: 25.5100
12474.796686681,1,Executor,140720513602720,ReadStart,Tentando ler o preço da PETR4
12474.796698050,1,Executor,140720513602720,ReadEnd,Preço lido: 25.5100
12474.796715967,1,Executor,140720513602736,ReadStart,Tentando ler o preço da PETR4
12474.796725784,1,Executor,140720513602736,ReadEnd,Preço lido: 25.5100
12474.796773384,1,Executor,140720513602724,ReadStart,Tentando ler o preço da PETR4
12474.796778435,1,Executor,140720513602724,ReadEnd,Preço lido: 25.5100
12474.796798027,1,Executor,140720513602732,WriteStart,Preço a ser escrito: 25.5200
12474.796799575,1,Executor,140720513602732,WriteEnd,Escrita concluída
12474.796920725,1,Executor,140720513602728,WriteStart,Preço a ser escrito: 25.5100
12474.796924738,1,Executor,140720513602728,WriteEnd,Escrita concluída
12474.796983747,1,Executor,140720513602724,WriteStart,Preço a ser escrito: 25.5200
12474.796989053,1,Executor,140720513602724,WriteEnd,Escrita concluída
12474.796992607,1,Executor,140720513602732,ReadStart,Tentando ler o preço da PETR4
12474.796999698,1,Executor,140720513602732,ReadEnd,Preço lido: 25.5200
12474.797044431,1,Executor,140720513602736,WriteStart,Preço a ser escrito: 25.5200
12474.797051910,1,Executor,140720513602736,WriteEnd,Escrita concluída
12474.797065875,1,Executor,140720513602728,ReadStart,Tentando ler o preço da PETR4
12474.797072345,1,Executor,140720513602728,ReadEnd,Preço lido: 25.5200
12474.797156734,1,Executor,140720513602724,ReadStart,Tentando ler o preço da PETR4
12474.797159995,1,Executor,140720513602720,WriteStart,Preço a ser escrito: 25.5200
12474.797163404,1,Executor,140720513602720,WriteEnd,Escrita concluída
12474.797163727,1,Executor,140720513602724,ReadEnd,Preço lido: 25.5200
